circ,co_cep,plq,pq,caq,qs,autres,anglos,francos,allos
Champlain,593,0.2205,0.3667,0.3289,0.0415,0.0424,0.0048232921,0.9883364027,0.006752609
Portneuf,599,0.3354,0.1795,0.4065,0.0301,0.0485,0.0054036171,0.9906263785,0.0039700044
La Peltrie,603,0.2789,0.1433,0.5192,0.0255,0.0331,0.0203374162,0.9738849087,0.0057776751
Chauveau,613,0.2466,0.1637,0.5298,0.0303,0.0296,0.0086455331,0.9872264195,0.004205935
Charlesbourg,619,0.3417,0.2114,0.369,0.0389,0.039,0.0048623702,0.9839294544,0.0112081754
Jean-Lesage,623,0.306,0.286,0.2731,0.0798,0.0551,0.0057889659,0.9640382423,0.0301727919
Taschereau,633,0.2578,0.3705,0.1676,0.116,0.0881,0.0162283622,0.9613015979,0.0224700399
Vanier-Les Rivières,639,0.35,0.1855,0.379,0.0316,0.0539,0.0063613232,0.972519084,0.0211195929
Jean-Talon,643,0.3732,0.2775,0.2412,0.0637,0.0444,0.0250357053,0.9372427119,0.0378055952
Louis-Hébert,653,0.3846,0.2131,0.3296,0.0358,0.0369,0.0107357705,0.9786210088,0.0106432207
Chutes-de-la-Chaudière,659,0.2304,0.1706,0.5366,0.0383,0.0241,0.0063314711,0.9904655493,0.0032029795
Lévis,663,0.309,0.2005,0.3988,0.052,0.0397,0.0101566208,0.9833887043,0.0064546749
Montmorency,673,0.3324,0.205,0.3823,0.0344,0.0459,0.0046211457,0.9900406342,0.005417895
Charlevoix–Côte-de-Beaupré,679,0.2732,0.4096,0.2707,0.0325,0.014,0.0048048048,0.9908193908,0.0043758044
Côte-du-Sud,683,0.3906,0.2586,0.2993,0.034,0.0175,0.0013558781,0.9964906684,0.002233211
Rivière-du-Loup–Témiscouata,699,0.4136,0.3473,0.1876,0.03,0.0215,0.0012752052,0.995855583,0.0028692118
Rimouski,703,0.2212,0.4854,0.1729,0.0733,0.0472,0.0038450447,0.9911563972,0.004902432
Matane-Matapédia,711,0.189,0.5955,0.1603,0.0372,0.018,0.003114216,0.99410824,0.002777544
Bonaventure,713,0.3492,0.4753,0.1113,0.0514,0.0129,0.1224538134,0.8675982946,0.009947892
Gaspé,731,0.2844,0.5674,0.095,0.0375,0.0157,0.0670137498,0.9272460286,0.0056067281
Îles-de-la-Madeleine,733,0.3845,0.5101,0.0482,0.0478,0.0095,0.0634674923,0.9349845201,0.0019349845
Duplessis,745,0.2627,0.53,0.1152,0.0441,0.048,0.0863797468,0.8025316456,0.1111898734
René-Lévesque,753,0.1821,0.5968,0.1595,0.039,0.0226,0.0042458101,0.9426815642,0.0530726257
Dubuc,759,0.2761,0.4219,0.2365,0.0382,0.0273,0.0048006679,0.9926946358,0.0025046963
Chicoutimi,763,0.2242,0.4446,0.2507,0.0491,0.0314,0.0034922298,0.9898725336,0.0066352366
Jonquière,773,0.2005,0.482,0.2507,0.032,0.0348,0.0064798759,0.9898694898,0.0036506343
Lac-Saint-Jean,779,0.1649,0.5315,0.2412,0.0378,0.0246,0.0014496956,0.9959408524,0.0027060984
Roberval,783,0.2839,0.4671,0.1935,0.0404,0.0151,0.0028161577,0.9939276599,0.0031681774
Ungava,793,0.3464,0.4543,0.1101,0.0613,0.0279,0.0711088374,0.3959585625,0.5329326001
