Circonscription,Voteurs enregistrés,Votes rejetés,B.P.,C.A.Q.-É.F.L.,C.C.,É.A.,O.N.,P.C.M.Q.,P.CO.Q.,P.Éq.,P.I.,P.L.Q./Q.L.P.,P.M.L.Q.,P.N.,P.Q.,P.U.N.,P.V.Q./G.P.Q.,Q.R.D.,Q.S.,U.C.Q./Q.C.U.,IND1,IND2,
SAINT-HYACINTHE,57142,686,,13963,,129,803,,297,,,10553,,,16082,95,,,2188,149,,,
SAINT-JEAN,58282,716,,14457,,,771,,267,,190,8952,,,18185,,,,1886,110,,,
SAINT-JÉRÔME,54345,495,,16179,,,532,,,,,5087,,,15282,,506,,2903,,,,
SAINT-LAURENT,53585,340,,4902,,,384,,,,,22483,91,,3878,96,684,,1710,,,,
SAINT-MAURICE,36598,565,,7497,,,519,,,,,7158,,,9395,90,,,1250,,442,,
SANGUINET,38464,486,,9857,,,401,,288,,,6062,67,,12384,,,,1056,,,,315
SHERBROOKE,48799,349,,4343,,,1063,,,,69,12714,,,15585,,406,,2561,,,,
SOULANGES,46809,479,,10234,,,495,,,,,12795,,,11281,,,,1323,,378,,
TAILLON,50864,480,,10764,175,,932,,,,,7425,65,,15508,,590,,2874,,183,,
TASCHEREAU,49350,422,,6286,110,72,2762,,,,,9667,,360,13894,,,,4349,,,,
TERREBONNE,54100,555,,15437,166,,511,,,,,5658,,,19101,,632,,1380,,,,
TROIS-RIVIÈRES,43279,537,,7447,,116,1129,,,,,11248,,,10254,,,,1609,,217,,
UNGAVA,26098,198,,1176,,,298,,,,,3701,,,4854,,,,655,,,,
VACHON,48326,568,,11030,197,,665,,,,,7885,,,14723,,806,,1878,,,,
VANIER-LES RIVIÈRES,55380,494,,16352,,146,924,,362,,,15102,,,8006,,569,,1365,,322,,
VAUDREUIL,56822,438,,11013,,,444,,,,,19375,,,8902,,1071,,2091,93,,,
VERCHÈRES,56169,609,,14622,269,,1025,,,,,6419,,,22053,,,,1890,,297,,
VERDUN,47694,387,,6373,,,525,,,,,11877,58,,11353,,825,,2449,127,,,
VIAU,40605,393,,3077,,,736,,,,,11707,,,5876,,524,,2864,,,,
VIMONT,44122,392,,8544,,,684,,219,,,12973,,,10564,,,,1373,,253,,
WESTMOUNT-SAINT-LOUIS,39462,151,,3045,,,225,,,,,15779,,,1751,,972,,1506,,,,103
