Circonscription,B.P.,C.A.Q.-É.F.L.,C.C.,É.A.,O.N.,P.C.M.Q.,P.CO.Q.,P.Éq.,P.I.,P.L.Q./Q.L.P.,P.M.L.Q.,P.N.,P.Q.,P.U.N.,P.V.Q./G.P.Q.,Q.R.D.,Q.S.,U.C.Q./Q.C.U.,IND1,IND2,
JONQUIÈRE,,Pierre-Olivier Simard,,,Sébastien Lévesque,,,,,Martine Girard,,Alain Létourneau,Sylvain Gaudreault,,,,Réjean Dumais,Alexis St-Gelais,Tommy Gagnon,,
LA PELTRIE,,Éric Caire,,Charlotte Cyr,Alexandre Desmeules,,,,,Jean-François Gosselin,,,Jean-Luc Jolivet,,,,Brigitte Hannequin,,Anthony Leclerc,,
LA PINIÈRE,,François Lemay,,,Mylaine Larocque,,Claude Chalhoub,,,Fatima Houda-Pepin,Serge Patenaude,,Pierre O. Thibert,,Marc-André Beauchemin,,Johane Beaupré,Sean Connolly-Boutin,,,
LA PRAIRIE,,Stéphane Le Bouyonnec,Adrian Ahsly Gutierrez,,Jean-Pierre Gouin,,Monique Roy-Verville,,,Lucie F. Roussel,Normand Chouinard,,Pierre Langlois,,Kevin Murphy,,Yohan Perron,,,,
LABELLE,,Robert Milot,,,Simon Marcil,,,,,Vicki Emard,,,Sylvain Pagé,,François Beauchamp,,Normand St-Amour,,,,
LAC-SAINT-JEAN,Matthew Babin,Michel Simard,,,Jordan Racine,,,,,Jeannot Boulianne,,,Alexandre Cloutier,,France Bergeron,,Frédérick Plamondon,,,,
LAFONTAINE,,Domenico Cavaliere,,,Maxime St-Arnault,,Patrice Raza,,,Marc Tanguay,,,Marc Boulerice,,Gaëtan Bérard,,Christine Filiatrault,Steven Hombrados,,,
LAPORTE,,Donald LeBlanc,,,Linda Dupuis,,Camil Lambert,,,Nicole Ménard,,,Simon Bélanger,,,,Michèle St-Denis,,,,
L'ASSOMPTION,,François Legault,,,Evelyne Marcil,,,,,Lise Hébert,,,Lizabel Nitoi,,Christine Lebel,,Sylvain Fournier,,,,
LAURIER-DORION,,Marie Josée Godbout,Yves Pageau,,Miguel Tremblay,,,,,Gerry Sklavounos,Peter Macrisopoulos,,Badiona Bazin,,Danny Polifroni,,Andrés Fontecilla,,David H. Cherniak,,Michel Dugré
LAVAL-DES-RAPIDES,,Maud Cohen,Monique Chartrand,,Lawrence Côté-Collins,,,,,Alain Paquet,,,Léo Bureau-Blouin,,Carl Desmarais,,Sylvie Des Rochers,,,,
LAVIOLETTE,,Sylvain Medzalabenleth,,,Gabriel Pelland,,,,,Julie Boulet,Jean-Paul Bédard,,André Beaudoin,,,,Jean-François Dubois,,Jean Marceau,,
LÉVIS,,Christian Dubé,,Carl Michaud,Nathaly Dufour,Patrick Vallières,Luc Harvey,Yvan Rodrigue,,Gilles Lehouillier,,,Stéphane Labrie,Paul Biron,,,Valérie C. Guilloteau,,,,
LOTBINIÈRE-FRONTENAC,,Martin Caron,,,,,,,,Laurent Lessard,,,Kaven Mathieu,,,,Marie-Christine Rochefort,,,,
LOUIS-HÉBERT,,Michel Hamel,Guillaume Dion,Hugues Fortin,Sol Zanetti,,Véronique Durand,,,Sam Hamad,,Julie Lachance,Rosette Côté,,,,Guillaume Boivin,Maxime Guérin,,,
MARGUERITE-BOURGEOYS,,Michel Delisle,,,Véronique Pelletier,,,,,Robert Poeti,Yves Le Seigle,,Jessica Riggi,,,,Yebo Romaric Okou,,,,
MARIE-VICTORIN,,Simon Jolin-Barrette,Jean Baillargeon,,Olivier Chauvin,,,,Yves Ménard,Farida Chemmakh,,,Bernard Drainville,,Mathieu Yargeau,,Carl Lévesque,,,,
MARQUETTE,,Victor A. Tan,,,Patrick Valois,,,,,François Ouimet,,,Étienne Gougoux,,John Symon,,Claudelle Cyr,,,,
MASKINONGÉ,,Jean Damphousse,Marie Anny Gosselin,Didier Provencher,Émilie Viau-Drouin,Linda Delmé,,,,Jean-Paul Diamond,,,Patrick Lahaie,,Laurence J. Requilé,,Julie Veilleux,,,,
MASSON,,Christian Gauthier,Adam Stohl,,Samuel Bergeron,,,,,Suzanne Rathé,,,Diane Hamelin,,Michel Paulette,,Jacinthe Sabourin,,,,
MATANE-MATAPÉDIA,,Pierre D'Amours,,Pascal Gauthier,Geneviève Allard,,,,,Jean-Clément Ouellet,,,Pascal Bérubé,,Lise Deschênes,,Diane Bélanger,,,,
MÉGANTIC,,Raymonde Lapointe,,,Jasmin Roy-Rouleau,,,,,Ghislain Bolduc,,,Gloriane Blais,,,,William Leclerc Bellavance,,Jacques Audet,Jean-Luc Perron,
MERCIER,,Julie Boncompain,,,Nic Payne,,,,,Anne Pâquet,,,Jean Poirier,,David Kovacs,,Amir Khadir,,,,
MILLE-ÎLES,,Jean Prud'homme,,,Alain Senécal,,,,,Francine Charbonneau,,,Robert Carrier,,Henrico Negro,,Nicole Bellerose,Carlos Silva,Régent Millette,,
MIRABEL,,Sylvie D'Amours,,,Jean-François Pouliot,,,,,Ismaël Boisvert,,,Denise Beaudoin,,,,Mylène Jaccoud,,,,Eric Emond
MONTARVILLE,,Nathalie Roy,,,Luc Lapierre-Pelletier,,Claude Leclair,,,Nicole Girard,,,Monique Richard,,Dominique Robitaille,,David Fortin Côté,,,,
MONTMORENCY,,Michelyne C. St-Laurent,,Maryse Belley,Jean Bouchard,Jean Lavoie,,,Luc Duranleau,Raymond Bernier,,,Michel Létourneau,,,,Lucie Charbonneau,,Martin Roussel,,
MONT-ROYAL,,Stefan Stanczykowski,Amal Bouchentouf,,Guillaume Blanchet,,,,,Pierre Arcand,Diane Johnston,,André Normandeau,,Ken McMurray,,Marc-André Beauchamp,,,,
NELLIGAN,,Philippe Boileau,,,François Landry,,,,,Yolande James,,,Marcos Archambault,,Kristianne Brunet,,Elahé Machouf,Jean-Dominic Lévesque-René,,,
NICOLET-BÉCANCOUR,,Donald Martel,,,Jean-Martin Aussant,,Mathieu Benoit,,,Marc Descôteaux,,,Gilles Mayrand,,,,,,,,
NOTRE-DAME-DE-GRÂCE,,Angely Pacis,,,Sylvain Labranche,,,,,Kathleen Weil,Rachel Hoffman,,Olivier Sirard,,Claude Sabourin,,David Mandel,,,,
ORFORD,,Jean L'Écuyer,Serge Trottier,,Marie-Hélène Martin,,,,,Pierre Reid,,,Michel Breton,,Guillaume Corriveau,,Patricia Tremblay,,,,
OUTREMONT,,Claude Michaud,Olga Sharonova,,Luc Séguin,,,,,Raymond Bachand,,Mathieu Marcil,Roxanne Gendron,,,,Édith Laperle,Jonathan Moffatt,,,
PAPINEAU,,Chantal Dubé,,,Jonathan Beauchamp,,,,,Alexandre Iraca,Alexandre Deschênes,Christine Gagné,Jean-François Primeau,,,,Katia Gagnon,,Mario Parent,,
POINTE-AUX-TREMBLES,,Guy Boutin,,,Guillaume Simard L'Heureux,,,,Gérald Briand,Jessica Veronica Cialdella,Geneviève Royer,,Nicole Léger,,,,Natacha Larocque,,Jean-Marcel Seck,,
PONTIAC,,André Laframboise,,,Patrick Émard,,,,,Charlotte L'Écuyer,Louis Lang,,Geneviève Gendron-Nadeau,,Garry Bélair,,Charmain Levy,,,,
PORTNEUF,,Jacques Marcotte,,,Marianne Garnier,,Sylvie Gagné,,,Michel Matte,,,René Perreault,,,,Raphaël Langevin,,Yves St-Amant,,
